,price,load_actual,Solar,Wind_Onshore,Wind_Offshore,residual_load,re_penetration,wind_share,solar_share,hour_cos,solar_peak_impact,price_lag_24h,price_lag_168h,hour_sin,is_weekend
2025-12-20 09:00:00+01:00,114.87,52400.1174,2194.828808,3174.167752,1798.301,45232.819840000004,0.13678018133600592,0.09489422922552458,0.04188595211048134,-0.7071067811865475,-1551.9783336803869,92.81,107.27,0.7071067811865476,1
2025-12-20 10:00:00+01:00,114.33,54042.96901,5879.186392,2926.77716,1358.606,43878.399458,0.18808310753835839,0.07929584992280941,0.10878725761554897,-0.8660254037844387,-5091.524769055777,93.11,108.27,0.49999999999999994,1
2025-12-20 11:00:00+01:00,113.15,55277.23618,9045.073772,2600.872312,1115.368,42515.922096,0.23086020513842556,0.06722912664987007,0.1636310784885555,-0.9659258262890682,-8736.87035706468,87.23,102.85,0.258819045102521,1
2025-12-20 12:00:00+01:00,108.74,55856.65361,10213.099716,2307.690132,959.388,42376.475762,0.24133522108432662,0.05849040214280033,0.1828448189415263,-1.0,-10213.099716,79.91,98.95,1.2246467991473532e-16,1
2025-12-20 13:00:00+01:00,109.33,55076.09258,9536.653932,1907.473372,735.006,42896.959275999994,0.22113284972621056,0.04797870088844273,0.1731541488377678,-0.9659258262890683,-9211.70032929999,89.2,94.98,-0.2588190451025208,1
2025-12-20 14:00:00+01:00,115.62,53933.47008,6740.774008,1959.759508,433.206,44799.730564,0.16935197202130406,0.04436884006258995,0.12498313195871413,-0.8660254037844388,-5837.68153209785,86.6,85.37,-0.4999999999999997,1
2025-12-20 15:00:00+01:00,116.59,53672.62509,2836.887196,2620.610008,343.784,47871.343886,0.10808640707012603,0.055231023320160104,0.052855383749965935,-0.7071067811865479,-2005.9821737528916,92.26,102.45,-0.7071067811865471,1
2025-12-20 16:00:00+01:00,114.25,54965.73409,191.323784,3664.87522,251.341,50858.194085999996,0.07472910299486551,0.0712483201550197,0.0034807828398458127,-0.5000000000000004,-95.66189200000008,94.28,113.99,-0.8660254037844385,1
2025-12-20 17:00:00+01:00,127.0,57126.0162,65.99772,4996.990152,230.382,51832.646327999995,0.09266128156858941,0.09150598098244421,0.0011553005861451968,-0.25881904510252063,-17.08146686934353,103.56,120.03,-0.9659258262890683,1
2025-12-20 18:00:00+01:00,128.99,57475.24808,87.312408,6305.574004,299.46,50782.901668,0.11643875643102748,0.11491962583278337,0.001519130598244127,-1.8369701987210297e-16,-1.6039029147457164e-14,108.07,118.0,-1.0,1
2025-12-20 19:00:00+01:00,113.48,56507.67209,50.544488,7423.845664,562.19,48471.091938,0.14222104459019488,0.1413265733417687,0.0008944712484261888,0.2588190451025203,13.081876119355796,108.08,116.77,-0.9659258262890684,1
2025-12-20 20:00:00+01:00,104.08,54234.55674,16.523756,8393.704712,1104.151,44720.177272,0.17543020612506993,0.17512553403050088,0.0003046720945690539,0.5000000000000001,8.261878000000001,107.29,100.19,-0.8660254037844386,1
2025-12-20 21:00:00+01:00,95.03,51313.60338,9.482236,8965.760728,1667.382,40670.978416,0.2074035784465698,0.20721878853950013,0.00018478990706966798,0.7071067811865474,6.704953376411202,104.52,94.46,-0.7071067811865477,1
2025-12-20 22:00:00+01:00,101.53,49517.32269,16.978068,9046.959836,2032.398,38420.986786,0.22408998106516972,0.22374710978139112,0.0003428712837786101,0.8660254037844384,14.703438195179652,100.25,107.87,-0.5000000000000004,1
2025-12-20 23:00:00+01:00,104.36,47293.34691,6.284708,9244.982644,2733.74,35308.339558,0.253418464436608,0.25328557665406304,0.00013288778254497193,0.9659258262890681,6.070561767885517,97.14,93.76,-0.25881904510252157,1
2025-12-21 00:00:00+01:00,103.92,44506.77004,7.167404,9204.260668,3348.991,31946.350968000002,0.2822136735762099,0.2820526328178364,0.0001610407583735771,1.0,7.167404,90.36,97.5,0.0,1
2025-12-21 01:00:00+01:00,98.99,42021.38052,6.231228,9256.83886,3662.286,29096.024432,0.3075899917626029,0.3074417046781975,0.00014828708440538403,0.9659258262890683,6.018904054695579,87.0,99.02,0.25881904510252074,1
2025-12-21 02:00:00+01:00,90.75,40798.33966,6.882656,9306.2887,3805.355,27679.813304,0.3215455938973375,0.3213768944831614,0.00016869941417611112,0.8660254037844387,5.96055494150939,86.88,89.4,0.49999999999999994,1
2025-12-21 03:00:00+01:00,85.73,40691.73079,7.443784,9270.49374,4062.88,27350.913266000003,0.3278508253396414,0.3276678942168928,0.00018293112274863745,0.7071067811865476,5.263550144087924,86.56,78.67,0.7071067811865476,1
2025-12-21 04:00:00+01:00,85.54,40538.3901,7.023856,9466.737672,4159.057,26905.571571999997,0.3362940288050561,0.33612076449972295,0.00017326430533313165,0.5000000000000001,3.511928000000001,86.91,77.9,0.8660254037844386,1
2025-12-21 05:00:00+01:00,87.24,40927.63325,6.142688,9776.53658,4163.149,26981.804981999998,0.34074357984040043,0.34059349327266564,0.0001500865677347712,0.25881904510252074,1.5898446425227128,86.9,81.5,0.9659258262890683,1
2025-12-21 06:00:00+01:00,84.34,41627.71668,6.395616,10087.236488,4122.477,27411.607576,0.3415058580628353,0.34135221965770335,0.00015363840513195307,6.123233995736766e-17,3.9161853314877997e-16,92.07,76.33,1.0,1
2025-12-21 07:00:00+01:00,87.89,43190.97192,9.470868,10456.75818,3721.271,29003.471872000002,0.3284830004353373,0.3282637215541502,0.00021927888118707562,-0.25881904510252063,-2.4512410120520194,98.84,80.86,0.9659258262890683,1
2025-12-21 08:00:00+01:00,98.98,46122.9573,39.561556,11082.148932,3575.066,31426.180812000002,0.31864341205198476,0.317785670954798,0.0008577410971867583,-0.4999999999999998,-19.780777999999994,108.88,77.91,0.8660254037844387,1
2025-12-21 09:00:00+01:00,106.7,48792.56655,2218.991428,12153.572904,3155.902,31264.100218000003,0.3592446057134086,0.31376654245707025,0.04547806325633837,-0.7071067811865475,-1569.0638861336204,114.87,80.17,0.7071067811865476,1
2025-12-21 10:00:00+01:00,111.83,51122.03086,6195.694476,12355.61436,3248.148,29322.574023999998,0.4264200085418907,0.30522579204123584,0.12119421650065487,-0.8660254037844387,-5365.6288103029165,114.33,82.19,0.49999999999999994,1
2025-12-21 11:00:00+01:00,104.58,52978.70383,9977.580296,11794.401468,2968.697,28238.025066,0.4669929042316474,0.2786609977354744,0.18833190649617296,-0.9659258262890682,-9637.602491779326,113.15,83.76,0.258819045102521,1
2025-12-21 12:00:00+01:00,101.95,53922.09256,12236.908588,10724.93162,3058.126,27902.126351999996,0.4825474118803375,0.2556105849316468,0.22693682694869066,-1.0,-12236.908588,108.74,88.69,1.2246467991473532e-16,1
2025-12-21 13:00:00+01:00,99.32,52384.75723,11890.691668,10658.815076,3620.876,26214.374486000004,0.4995801093263938,0.2725924835979239,0.22698762572846992,-0.9659258262890683,-11485.526174561439,109.33,87.43,-0.2588190451025208,1
2025-12-21 14:00:00+01:00,94.39,50718.86213,8778.24268,11613.898628,3942.169,26384.551822,0.4797881751689842,0.3067116842670382,0.17307649090194602,-0.8660254037844388,-7602.181161464794,115.62,85.9,-0.4999999999999997,1
2025-12-21 15:00:00+01:00,94.03,50800.67405,3935.886996,13499.672176,3718.251,29646.863878,0.416408060869027,0.3389309984165456,0.07747706245248137,-0.7071067811865479,-2783.0923848555517,116.59,83.0,-0.7071067811865471,1
2025-12-21 16:00:00+01:00,91.64,51749.85583,299.794496,17334.997776,3751.275,30363.788558,0.4132584898836036,0.4074653433870253,0.005793146496578365,-0.5000000000000004,-149.89724800000013,114.25,99.09,-0.8660254037844385,1
2025-12-21 17:00:00+01:00,102.1,55053.58261,53.21202,20500.384308,3981.667,30518.319281999997,0.445661520373851,0.44469497074206854,0.0009665496317824466,-0.25881904510252063,-13.77228420437623,127.0,99.71,-0.9659258262890683,1
2025-12-21 18:00:00+01:00,100.83,56166.92241,21.854356,22671.025672,4722.383,28751.659381999998,0.48810335072086786,0.4877142541661292,0.00038909655473857746,-1.8369701987210297e-16,-4.014580068424013e-15,128.99,111.25,-1.0,1
2025-12-21 19:00:00+01:00,88.15,55606.77499,15.220964,24483.318664,5455.332,25652.903361999997,0.538673059773503,0.5383993347822095,0.00027372499129354745,0.2588190451025203,3.939475368019838,113.48,103.63,-0.9659258262890684,1
2025-12-21 20:00:00+01:00,84.8,54177.66288,11.593016,25895.689196,5679.783,22590.597668000006,0.583027460633791,0.5828134791627615,0.00021398147102944946,0.5000000000000001,5.796508000000001,104.08,103.14,-0.8660254037844386,1
2025-12-21 21:00:00+01:00,83.51,51587.31439,10.623624,26517.07698,5716.856,19342.757786,0.6250481728944293,0.6248422380803065,0.0002059348141228175,0.7071067811865474,7.512036571176153,95.03,88.62,-0.7071067811865477,1
2025-12-21 22:00:00+01:00,83.4,50192.47089,7.855024,25369.715376,5860.653,18954.247489999994,0.6223687108064586,0.6222122127528518,0.00015649805360678072,0.8660254037844384,6.802650331336454,101.53,88.14,-0.5000000000000004,1
2025-12-21 23:00:00+01:00,78.03,47325.51474,6.308112,25248.271908,5704.388,16366.546720000002,0.6541707615877903,0.6540374695985821,0.00013329198920827205,0.9659258262890681,6.093168295923986,104.36,85.0,-0.25881904510252157,1
2025-12-22 00:00:00+01:00,72.5,45291.24496,10.356672,24584.815108,6154.476,14541.597180000004,0.6789313874493239,0.6787027191491005,0.0002286683002232933,1.0,10.356672,103.92,72.17,0.0,0
2025-12-22 01:00:00+01:00,71.27,43841.25946,7.682852,24067.778412,6405.826,13359.972195999999,0.6952648632690536,0.6950896207670216,0.0001752425020318976,0.9659258262890683,7.4210651663566205,98.99,75.34,0.25881904510252074,0
2025-12-22 02:00:00+01:00,69.22,42847.9458,7.9146,23438.437748,6336.162,13065.431452,0.6950744963834415,0.694889782744264,0.00018471363917754022,0.8660254037844387,6.854244660792319,90.75,72.07,0.49999999999999994,0
2025-12-22 03:00:00+01:00,65.92,43355.87879,7.943884,23237.697832,6605.45,13504.787074,0.6885131278410422,0.6883299027693403,0.00018322507170197758,0.7071067811865476,5.617174245359316,85.73,70.91,0.7071067811865476,0
2025-12-22 04:00:00+01:00,70.97,44229.4636,7.9104,23385.449188,6675.241,14160.863012000002,0.6798319070729133,0.6796530579674496,0.00017884910546371626,0.5000000000000001,3.955200000000001,85.54,70.22,0.8660254037844386,0
2025-12-22 05:00:00+01:00,70.44,46574.05715,8.581424,23385.216608,6768.001,16412.258118,0.6476094391961298,0.6474251858902097,0.0001842533059201178,0.25881904510252074,2.221035965299854,87.24,70.46,0.9659258262890683,0
2025-12-22 06:00:00+01:00,71.37,50221.63947,9.361724,23290.486924,6889.779,20032.011822,0.6011278796669678,0.6009414714951359,0.0001864081718318305,6.123233995736766e-17,5.732402665550479e-16,84.34,71.0,1.0,0
2025-12-22 07:00:00+01:00,80.9,54415.89785,16.219132,22792.09042,6988.362,24619.226298,0.5475729102942661,0.5472748515900855,0.0002980587041806937,-0.25881904510252063,-4.1978202566317355,87.89,78.89,0.9659258262890683,0
2025-12-22 08:00:00+01:00,88.57,59349.96558,24.308372,22646.757696,6925.839,29753.060511999996,0.4986844521098373,0.49827487525899256,0.00040957685084473807,-0.4999999999999998,-12.154185999999994,98.98,104.08,0.8660254037844387,0
2025-12-22 09:00:00+01:00,93.55,61564.34822,1015.433436,22244.700528,7033.1,31271.114256,0.49205806347120296,0.475564208417766,0.016493855053436965,-0.7071067811865475,-718.0198684391561,106.7,103.02,0.7071067811865476,0
2025-12-22 10:00:00+01:00,101.54,62116.69931,2860.804604,20584.990484,7062.133,31608.771222000003,0.4911389115469084,0.445083589294146,0.046055322252762494,-0.8660254037844387,-2477.5294623274813,111.83,112.79,0.49999999999999994,0
2025-12-22 11:00:00+01:00,86.43,61833.11073,4363.48476,19901.95726,7123.585,30444.083710000003,0.5076410785325534,0.43707233779664634,0.07056874073590702,-0.9659258262890682,-4214.802622302756,104.58,86.93,0.258819045102521,0
2025-12-22 12:00:00+01:00,87.72,62415.72992,4973.534928,18812.194376,7251.88,31378.120615999997,0.49727223159581374,0.4175882331169893,0.07968399847882449,-1.0,-4973.534928,101.95,76.17,1.2246467991473532e-16,0
2025-12-22 13:00:00+01:00,90.0,62256.08261,4600.413364,18577.737212,7346.074,31731.858033999997,0.49030108057420546,0.4164060783329136,0.07389500224129185,-0.9659258262890683,-4443.658079892973,99.32,83.59,-0.2588190451025208,0
2025-12-22 14:00:00+01:00,91.07,61722.49471,3331.625432,18851.935304,7190.234,32348.699974,0.4759009640490275,0.4219234725744286,0.053977491474598883,-0.8660254037844388,-2885.2722600063053,94.39,83.12,-0.4999999999999997,0
2025-12-22 15:00:00+01:00,91.55,61399.62402,1503.916324,19381.834956,7001.474,33512.398740000004,0.45419211803180026,0.42969821683934145,0.0244939011924588,-0.7071067811865479,-1063.4294310375456,94.03,103.51,-0.7071067811865471,0
2025-12-22 16:00:00+01:00,94.53,62426.46033,130.851776,20315.628512,6929.229,35050.751042,0.43852733509614317,0.43643124034227937,0.0020960947538638058,-0.5000000000000004,-65.42588800000006,91.64,100.55,-0.8660254037844385,0
2025-12-22 17:00:00+01:00,107.04,64360.92948,74.451908,20752.401612,6704.724,36829.35196,0.4277684884671432,0.4266117011335617,0.0011567873335815598,-0.25881904510252063,-19.26957173462072,102.1,103.71,-0.9659258262890683,0
2025-12-22 18:00:00+01:00,104.31,64399.76115,29.932476,21368.579652,6453.142,36548.107022,0.4324807053729267,0.4320159136490835,0.00046479172384321805,-1.8369701987210297e-16,-5.498506638593246e-15,100.83,103.07,-1.0,0
2025-12-22 19:00:00+01:00,94.95,63269.71656,18.515556,20800.222236,6432.516,36018.462768,0.43071559781933055,0.43042295298058786,0.00029264483874273894,0.2588190451025203,4.7921785234622405,88.15,100.05,-0.9659258262890684,0
2025-12-22 20:00:00+01:00,92.07,60800.33723,10.333144,20336.198432,6482.908,33970.897654,0.44127122970564486,0.44110127762197615,0.00016995208366873068,0.5000000000000001,5.166572000000001,84.8,93.24,-0.8660254037844386,0
