,price,load_actual,Solar,Wind_Onshore,Wind_Offshore,residual_load,re_penetration,wind_share,solar_share,hour_cos,solar_peak_impact,price_lag_24h,price_lag_168h,hour_sin,is_weekend,pred_baseline,pred_xgboost
2026-01-12 23:00:00+01:00,90.45,59356.59396,7.207,18718.659,5827.783,34802.94496,0.4136633752358926,0.413541956543896,0.0001214186919966,0.965925826289068,6.961427430065314,90.38,119.51,-0.2588190451025215,0,119.51,102.09234
2026-01-13 00:00:00+01:00,87.46,56245.7815,7.477,18112.337,5559.012,32566.9555,0.4209884789315266,0.4208555445175919,0.0001329344139346,1.0,7.477,80.72,114.77,0.0,0,114.77,99.76465
2026-01-13 01:00:00+01:00,84.96,54252.80356,7.586,17631.557,5574.673,31038.98756,0.427882330068474,0.4277425031931382,0.0001398268753357,0.9659258262890684,7.327513318228872,82.46,110.0,0.2588190451025207,0,110.0,96.240715
2026-01-13 02:00:00+01:00,83.51,53097.74415,6.074,17325.392,5341.83,30424.44815,0.4270105324239091,0.4268961396168843,0.0001143928070247,0.8660254037844387,5.26023830258668,80.14,104.37,0.4999999999999999,0,104.37,89.741745
2026-01-13 03:00:00+01:00,83.45,52769.57294,5.941,17181.187,4887.42,30695.02494,0.418319625688447,0.4182070418703677,0.0001125838180793,0.7071067811865476,4.200921387029279,77.86,101.03,0.7071067811865476,0,101.03,89.57328
2026-01-13 04:00:00+01:00,84.6,53416.71039,5.907,16509.374,4497.582,32403.847390000003,0.3933762084295958,0.3932656250567735,0.0001105833728223,0.5000000000000001,2.9535000000000005,75.3,99.11,0.8660254037844386,0,99.11,90.340195
2026-01-13 05:00:00+01:00,84.95,55790.30065,5.354,15462.113,4601.921,35720.91265,0.3597289809550434,0.3596330144530239,9.596650201955847e-05,0.2588190451025207,1.3857171674788962,75.3,100.39,0.9659258262890684,0,100.39,92.20758
2026-01-13 06:00:00+01:00,86.5,61452.03689,5.718,15287.06,4204.838,41954.42089,0.317281850801805,0.3171888026248954,9.304817690966532e-05,6.123233995736766e-17,3.5012651987622833e-16,78.6,112.07,1.0,0,112.07,107.73439
2026-01-13 07:00:00+01:00,95.13,68306.46183,7.538,14217.844,4350.196,49730.88383,0.2719446667612589,0.2718343111697373,0.0001103555915216,-0.2588190451025206,-1.9509779619828005,89.46,121.67,0.9659258262890684,0,121.67,118.46543
2026-01-13 08:00:00+01:00,122.05,72569.51198,19.055,13838.519,5183.094,53528.84397999999,0.2623783387884373,0.2621157629562441,0.0002625758321931,-0.4999999999999998,-9.527499999999996,109.49,153.51,0.8660254037844387,0,153.51,145.6777
2026-01-13 09:00:00+01:00,141.13,73124.87124,1025.573,12819.737,4433.88,54845.68123999999,0.2499722692161283,0.2359473146061706,0.0140249546099576,-0.7071067811865475,-725.1896229018311,126.93,189.91,0.7071067811865476,0,189.91,161.7142
2026-01-13 10:00:00+01:00,153.99,73116.80001,3241.103,12058.087,3488.842,54328.76801000001,0.2569591666679943,0.2126314198361209,0.0443277468318734,-0.8660254037844387,-2806.877534281956,125.07,176.85,0.4999999999999999,0,176.85,156.7829
2026-01-13 11:00:00+01:00,125.0,73270.74294,5983.403,12277.195,4185.969,50824.17594,0.3063510222406378,0.2246894645722559,0.0816615576683819,-0.9659258262890682,-5779.52348679549,124.01,161.63,0.258819045102521,0,161.63,136.20303
2026-01-13 12:00:00+01:00,122.07,73356.22454,8134.449,12568.892,4824.572,47828.31154,0.3479992755908536,0.2371095855746449,0.1108896900162086,-1.0,-8134.449,111.23,140.92,1.2246467991473532e-16,0,140.92,123.022896
2026-01-13 13:00:00+01:00,117.43,72830.73961,8338.795,12920.46468,4462.688,47108.79193000001,0.3531743302036748,0.2386787882847919,0.1144955419188828,-0.9659258262890684,-8054.657450630151,136.34,133.66,-0.2588190451025208,0,133.66,130.9968
2026-01-13 14:00:00+01:00,119.24,70604.6109,6883.436,13066.64557,4030.193,46624.33633,0.3396417636797713,0.2421490374646339,0.0974927262151373,-0.8660254037844388,-5961.230441324342,119.08,127.07,-0.4999999999999997,0,127.07,124.03216
2026-01-13 15:00:00+01:00,112.98,70817.94243,4175.273,12623.07782,4706.232,49313.35961,0.3036600906790847,0.2447022495341369,0.0589578411449478,-0.7071067811865479,-2952.363851605101,135.99,127.73,-0.7071067811865471,0,127.73,135.68163
2026-01-13 16:00:00+01:00,113.87,70568.87726,1089.582,14122.18447,4348.715,51008.39579,0.277182835117703,0.2617428558760664,0.0154399792416365,-0.5000000000000004,-544.7910000000005,108.53,128.83,-0.8660254037844385,0,128.83,133.63286
2026-01-13 17:00:00+01:00,122.05,72802.56966,15.225,16560.43771,4563.013,51663.89395,0.2903561757328223,0.290147048499112,0.0002091272337103,-0.2588190451025206,-3.940519961685877,123.0,142.17,-0.9659258262890684,0,142.17,135.03891
2026-01-13 18:00:00+01:00,120.31,74374.8808,14.208,19127.31549,5559.536,49673.82131,0.3321156178579045,0.3319245856189661,0.0001910322389383,-1.8369701987210294e-16,-2.609967258342839e-15,124.81,159.94,-1.0,0,159.94,140.90317
2026-01-13 19:00:00+01:00,113.21,73072.57239,7.25,21552.46554,5137.333,46375.52385,0.3653497840135363,0.3652505675802991,9.921643323716032e-05,0.2588190451025203,1.876438076993272,105.0,154.98,-0.9659258262890684,0,154.98,123.623825
2026-01-13 20:00:00+01:00,100.85,70064.46135,5.751,23767.07821,5717.057,40574.57514,0.420896495053123,0.4208144134972358,8.208155588710596e-05,0.5000000000000001,2.8755000000000006,102.72,133.99,-0.8660254037844386,0,133.99,106.60065
2026-01-13 21:00:00+01:00,96.72,66734.8859,4.953,26020.90757,5897.16,34811.86532999999,0.4783558125481114,0.4782815934956143,7.421905249709883e-05,0.7071067811865474,3.502299887216969,96.09,120.86,-0.7071067811865477,0,120.86,95.029945
2026-01-13 22:00:00+01:00,92.43,62916.91261,4.094,26890.76436,5496.228,30525.82625,0.5148232012079336,0.5147581312636186,6.506994431492973e-05,0.8660254037844384,3.545508003093491,95.35,108.14,-0.5000000000000004,0,108.14,88.205696
2026-01-13 23:00:00+01:00,92.94,59411.19511,5.275,28707.32582,6016.847,24681.74729,0.5845606666504238,0.5844718786704777,8.878797994609134e-05,0.965925826289068,5.095258733674835,90.45,102.93,-0.2588190451025215,0,102.93,76.54862
2026-01-14 00:00:00+01:00,89.4,55259.68652,5.048,29191.67636,6100.611,19962.35116000001,0.63875381101239,0.6386624605122715,9.135050011861702e-05,1.0,5.048,87.46,101.28,0.0,0,101.28,63.35329
2026-01-14 01:00:00+01:00,84.93,52745.78558,5.493,28714.70819,4584.31,19441.27439000001,0.631415587497256,0.6313114464755688,0.0001041410216872,0.9659258262890684,5.305830563805853,84.96,92.96,0.2588190451025207,0,92.96,62.35187
2026-01-14 02:00:00+01:00,86.48,51813.78587,5.473,28250.01782,4029.777,19528.51805,0.6231018883855205,0.622996260126398,0.0001056282591226,0.8660254037844387,4.739757034912233,83.51,86.77,0.4999999999999999,0,86.77,65.70721
2026-01-14 03:00:00+01:00,86.01,51291.16797,4.61,27254.56545,4166.101,19865.891520000005,0.6126839706278577,0.6125940916061381,8.9879021719614e-05,0.7071067811865476,3.2597622612699846,83.45,83.6,0.7071067811865476,0,83.6,66.19508
2026-01-14 04:00:00+01:00,85.47,51844.07645,5.611,26769.15529,4271.716,20797.59416,0.5988433860894825,0.5987351577173288,0.0001082283721537,0.5000000000000001,2.8055000000000003,84.6,80.79,0.8660254037844386,0,80.79,69.15625
2026-01-14 05:00:00+01:00,89.67,54874.34868,5.517,26138.10181,4513.118,24217.61187,0.5586715386596184,0.5585709998808864,0.0001005387787319,0.2588190451025207,1.427904671830607,84.95,84.09,0.9659258262890684,0,84.09,73.78708
2026-01-14 06:00:00+01:00,87.64,61303.46525,5.278,26610.44448,5127.886,29559.85677000001,0.5178109973155228,0.5177249010405655,8.609627495731164e-05,6.123233995736766e-17,3.2318429029498647e-16,86.5,87.45,1.0,0,87.45,82.98563
2026-01-14 07:00:00+01:00,95.59,68500.00127,5.755,25827.57232,5497.702,37168.97194999999,0.4573872808630388,0.4573032662660563,8.40145969825031e-05,-0.2588190451025206,-1.489503604565006,95.13,100.1,0.9659258262890684,0,100.1,92.904
2026-01-14 08:00:00+01:00,121.72,73233.74402,23.322,25588.96225,5109.455,42512.00477,0.4195025074999572,0.4191840477473925,0.0003184597525647,-0.4999999999999998,-11.660999999999994,122.05,106.77,0.8660254037844387,0,106.77,113.97908
2026-01-14 09:00:00+01:00,143.02,73049.49809,1277.113,25045.66663,4807.235,41919.48345999999,0.4261496032682735,0.4086667589860781,0.0174828442821954,-0.7071067811865475,-903.0552626414952,141.13,115.44,0.7071067811865476,0,115.44,125.2804
2026-01-14 10:00:00+01:00,125.43,73169.78322,3615.48,23798.19024,4461.945,41294.16798,0.4356390553209568,0.3862268548074017,0.0494122005135551,-0.8660254037844387,-3131.0975268745624,153.99,116.56,0.4999999999999999,0,116.56,122.189476
2026-01-14 11:00:00+01:00,111.85,73258.89256,6776.291,21720.5383,4179.511,40582.55225999999,0.4460392337112884,0.353541370814301,0.0924978628969872,-0.9659258262890682,-6545.394483350176,125.0,102.11,0.258819045102521,0,102.11,107.16478
2026-01-14 12:00:00+01:00,104.67,72811.46885,8908.734,19451.5706,3750.791,40700.37325,0.4410170005792981,0.3186635562564949,0.1223534443228032,-1.0,-8908.734,122.07,98.86,1.2246467991473532e-16,0,98.86,110.39187
2026-01-14 13:00:00+01:00,102.74,72364.53902,9674.037,17425.94548,3758.425,41506.13154,0.4264299600039102,0.2927451866188921,0.1336847733850181,-0.9659258262890684,-9344.40218277602,117.43,97.91,-0.2588190451025208,0,97.91,111.15728
2026-01-14 14:00:00+01:00,102.77,69995.59449,7706.21,14855.06533,3545.447,43888.87216,0.3729766497480033,0.2628810064986134,0.1100956432493898,-0.8660254037844388,-6673.7736268976805,119.24,91.19,-0.4999999999999997,0,91.19,117.21635
2026-01-14 15:00:00+01:00,120.46,69659.75159,4173.582,11969.60298,3044.477,50472.08961,0.2754483262147389,0.2155345036021538,0.059913822612585,-0.7071067811865479,-2951.168134038115,112.98,95.86,-0.7071067811865471,0,95.86,123.375336
2026-01-14 16:00:00+01:00,112.43,70292.12506,780.057,10738.14503,2644.404,56129.51903,0.2014821150720805,0.1903847553133002,0.0110973597587803,-0.5000000000000004,-390.0285000000004,113.87,101.86,-0.8660254037844385,0,101.86,143.23721
2026-01-14 17:00:00+01:00,164.99,72299.00492,23.317,9255.72012,2604.437,60415.53080000001,0.1643656663483716,0.1640431584518134,0.0003225078965581,-0.2588190451025206,-6.0348836746554735,122.05,118.18,-0.9659258262890684,0,118.18,188.34044
2026-01-14 18:00:00+01:00,190.89,72771.75946,89.652,8424.79989,2514.991,61742.31657,0.1515621303077395,0.1503301688893918,0.0012319614183477,-1.8369701987210294e-16,-1.6468805225573774e-14,120.31,123.01,-1.0,0,123.01,233.01253
2026-01-14 19:00:00+01:00,189.65,71286.58408,50.738,8165.66415,2438.543,60631.63893,0.149466344719824,0.1487545978931973,0.0007117468266267,0.2588190451025203,13.131960710411674,113.21,115.51,-0.9659258262890684,0,115.51,170.5837
2026-01-14 20:00:00+01:00,152.32,69138.98591,10.544,7970.35601,2721.814,58436.27190000001,0.1547999854081169,0.1546474810017936,0.0001525044063233,0.5000000000000001,5.272000000000001,100.85,107.77,-0.8660254037844386,0,107.77,146.32298
2026-01-14 21:00:00+01:00,139.99,65746.64821,5.999,7869.67274,3204.326,54666.65047,0.1685256669603841,0.1684344227652301,9.124419515408176e-05,0.7071067811865474,4.241933580338097,96.72,105.26,-0.7071067811865477,0,105.26,134.69324
2026-01-14 22:00:00+01:00,125.7,62015.11063,4.637,7456.04424,2902.485,51651.94439,0.1671071152614664,0.1670323431623296,7.477209913670357e-05,0.8660254037844384,4.015759797348441,92.43,90.73,-0.5000000000000004,0,90.73,120.97458
2026-01-14 23:00:00+01:00,106.33,58222.46803,5.302,8413.83419,2811.099,46992.23284,0.1928849045734964,0.1927938400724645,9.10645010319395e-05,0.965925826289068,5.121338730984639,92.94,95.11,-0.2588190451025215,0,95.11,106.322525
2026-01-15 00:00:00+01:00,110.34,54498.85134,5.632,9932.86599,3611.972,40948.38135,0.2486377172513816,0.248534375623778,0.0001033416276035,1.0,5.632,89.4,86.88,0.0,0,86.88,98.13728
2026-01-15 01:00:00+01:00,98.48,52849.55116,5.9,12360.95229,3565.193,36917.50587000001,0.3014603708131094,0.3013487331573394,0.00011163765577,0.9659258262890684,5.698962375105503,84.93,85.0,0.2588190451025207,0,85.0,93.78084
2026-01-15 02:00:00+01:00,94.23,51819.23492,5.547,14936.91761,3872.816,33003.95431,0.3630945273323229,0.3629874821393831,0.0001070451929397,0.8660254037844387,4.803842914792281,86.48,84.7,0.4999999999999999,0,84.7,89.79877
2026-01-15 03:00:00+01:00,86.56,51632.32908,5.784,16930.11567,4014.197,30682.232410000004,0.4057554064148368,0.4056433835775358,0.0001120228373009,0.7071067811865476,4.089905622382991,86.01,82.64,0.7071067811865476,0,82.64,86.395424
2026-01-15 04:00:00+01:00,82.52,52220.37399,5.537,17489.10188,4688.161,30037.57411,0.4247920530834941,0.4246860216712898,0.0001060314122043,0.5000000000000001,2.7685000000000004,85.47,81.04,0.8660254037844386,0,81.04,85.9189
2026-01-15 05:00:00+01:00,84.0,55020.75449,5.323,18372.12037,5055.177,31588.13412,0.4258869327984019,0.4257901874874853,9.674531091658246e-05,0.2588190451025207,1.377693777080718,89.67,85.26,0.9659258262890684,0,85.26,87.08794
2026-01-15 06:00:00+01:00,93.61,61704.83134,5.697,19603.03918,5847.849,36248.24616,0.4125541651630419,0.4124618385189804,9.232664406145025e-05,6.123233995736766e-17,3.4884064073712356e-16,87.64,86.36,1.0,0,86.36,91.117195
2026-01-15 07:00:00+01:00,100.71,68621.47738,7.009,20694.63537,5877.9,42041.93301,0.3873356474506145,0.3872335074170914,0.0001021400335231,-0.2588190451025206,-1.8140626871235672,95.59,103.27,0.9659258262890684,0,103.27,101.72629
2026-01-15 08:00:00+01:00,105.0,72609.05363,13.931,21511.22267,6044.69,45039.20995999999,0.3797025617561406,0.3795106986302143,0.0001918631259262,-0.4999999999999998,-6.965499999999997,121.72,167.87,0.8660254037844387,0,167.87,130.2452
2026-01-15 09:00:00+01:00,106.77,73506.13752,1341.857,22322.0578,6065.485,43776.737720000005,0.4044478570501822,0.3861928235894062,0.0182550334607759,-0.7071067811865475,-948.836184082637,143.02,181.0,0.7071067811865476,0,181.0,141.06906
2026-01-15 10:00:00+01:00,107.29,73450.1299,4947.211,21983.4434,6480.141,40039.3345,0.4548772812994031,0.3875225876217272,0.0673546936776758,-0.8660254037844387,-4284.410403881817,125.43,204.01,0.4999999999999999,0,204.01,121.064514
2026-01-15 11:00:00+01:00,101.67,73358.68575,9535.751,21565.17299,6729.76,35528.00176000001,0.5156946802308273,0.3857066508310504,0.1299880293997769,-0.9659258262890682,-9210.828163961807,111.85,222.59,0.258819045102521,0,222.59,97.688484
2026-01-15 12:00:00+01:00,96.51,72560.09109,13681.215,18800.26888,6699.852,33378.75521,0.5399846567364611,0.3514345213317179,0.1885501354047432,-1.0,-13681.215,104.67,215.16,1.2246467991473532e-16,0,215.16,94.85712
2026-01-15 13:00:00+01:00,98.44,70995.7204,14776.776,16477.91076,6478.361,33262.67264000001,0.5314834126255304,0.3233472613653484,0.2081361512601821,-0.9659258262890684,-14273.269567688474,102.74,217.09,-0.2588190451025208,0,217.09,95.50016
2026-01-15 14:00:00+01:00,101.4,69282.79623,12315.505,15191.71432,5426.546,36349.03091000001,0.475352715422583,0.297595672258276,0.177757043164307,-0.8660254037844388,-10665.540190434274,102.77,229.02,-0.4999999999999997,0,229.02,91.68915
2026-01-15 15:00:00+01:00,103.21,68692.28361,7428.439,13713.91305,4532.521,43017.41056,0.373766480028076,0.2656256727989131,0.1081408072291629,-0.7071067811865479,-5252.699590530619,120.46,251.17,-0.7071067811865471,0,251.17,116.849266
2026-01-15 16:00:00+01:00,124.09,69097.32446,1768.486,13939.70182,3776.484,49612.65264,0.2819888030726797,0.2563946716960912,0.0255941313765884,-0.5000000000000004,-884.2430000000008,112.43,224.46,-0.8660254037844385,0,224.46,133.77315
2026-01-15 17:00:00+01:00,151.18,71592.00548,92.241,15763.15698,3614.075,52122.53250000001,0.2719503783902101,0.2706619524077062,0.0012884259825039,-0.2588190451025206,-23.873727539301605,164.99,254.57,-0.9659258262890684,0,254.57,167.91917
2026-01-15 18:00:00+01:00,133.49,72500.98133,28.394,18714.56465,3908.279,49849.74368,0.3124266352602761,0.3120349991819897,0.0003916360782864,-1.8369701987210294e-16,-5.215893182248492e-15,190.89,270.09,-1.0,0,270.09,168.23999
2026-01-15 19:00:00+01:00,112.21,71497.7136,26.1,21842.75672,3462.123,46166.73388,0.3542907660196843,0.3539257193813258,0.0003650466383585,0.2588190451025203,6.75517707717578,189.65,176.16,-0.9659258262890684,0,176.16,139.84448
2026-01-15 20:00:00+01:00,101.1,68857.84248,12.085,24907.80699,4362.142,39575.80849000001,0.4252534342548572,0.4250779277393356,0.0001755065155215,0.5000000000000001,6.042500000000002,152.32,129.8,-0.8660254037844386,0,129.8,121.93139
2026-01-15 21:00:00+01:00,93.36,65058.16136,7.024,26847.18457,4856.203,33347.749789999994,0.4874163503411988,0.4873083854086958,0.0001079649325029,0.7071067811865474,4.966718031054309,139.99,104.36,-0.7071067811865477,0,104.36,104.33941
2026-01-15 22:00:00+01:00,94.12,61380.20517,5.244,27729.14582,5868.863,27776.95235,0.547460744501125,0.5473753097915883,8.543470953666739e-05,0.8660254037844384,4.541437217445595,125.7,103.93,-0.5000000000000004,0,103.93,92.4214
2026-01-15 23:00:00+01:00,90.0,57828.80526,3.214,28933.29416,6448.21,22444.0871,0.6118874149467428,0.6118318371082322,5.557783851057897e-05,0.965925826289068,3.104485605693065,106.33,94.51,-0.2588190451025215,0,94.51,76.80985
